589,3104
709,3104
590,3012
709,3018
590,2932
711,2934
592,2852
707,2854
590,2773
706,2776
589,2691
707,2693
589,2608
709,2610
587,2530
712,2529
582,2439
709,2443
587,2358
712,2363
590,2282
709,2280
582,2204
712,2200
589,2118
709,2121
580,2035
706,2040
585,1953
709,1957
587,1874
709,1874
584,1791
703,1794
580,1706
701,1708
587,1623
701,1628
579,1547
703,1544
577,1466
703,1471
582,1384
707,1388
579,1305
704,1303
576,1219
698,1217
576,1139
701,1139
576,1056
698,1063
576,975
703,975
577,894
699,900
577,817
703,816
577,736
699,736
577,650
699,653
580,570
693,568
577,486
698,489
574,401
694,408
576,320
696,326
577,245
699,243
569,157
696,164
576,81
696,76
